id,displayName,description,thumbnailUrl
b1b2c3d4-e5f6-a7b8-c9d0-e1f2a3b4c5d6,Toyota,Th??ng hi?u Nh?t B?n n?i ti?ng toàn c?u v? ?? b?n b? và tin c?y.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2S_i1tlAUEsX_KLYTeMCATypcndgdBZ3rEw&s
c2d3e4f5-a6b7-c8d9-e0f1-a2b3c4d5e6f7,Honda,"Hãng xe Nh?t B?n, ???c bi?t ??n v?i ??ng c? hi?u su?t cao và ti?t ki?m nhiên li?u.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtGVNpcOtHJ86Y83mgoi2jMOOJ7DoMvujRoA&s
d3e4f5a6-b7c8-d9e0-f1a2-b3c4d5e6f7a8,Ford,"Th??ng hi?u xe h?i lâu ??i c?a M?, tiên phong trong s?n xu?t dây chuy?n.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTh4GLoB0Iij4pTRbqc_hurShO4h4JV4Lr4jQ&s
e4f5a6b7-c8d9-e0f1-a2b3-c4d5e6f7a8b9,Mercedes-Benz,"Hãng xe sang c?a ??c, bi?u t??ng c?a s? sang tr?ng và công ngh? tiên ti?n.",https://upload.wikimedia.org/wikipedia/commons/b/b9/Mercedes_Benz_Logo_11.jpg
f5a6b7c8-d9e0-f1a2-b3c4-d5e6f7a8b9c0,BMW,"Hãng xe sang c?a ??c, t?p trung vào tr?i nghi?m lái th? thao (The Ultimate Driving Machine).",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBnDhElhZIoKxwHy_kUNU5g9-AvmIQMjouOg&s
a6b7c8d9-e0f1-a2b3-c4d5-e6f7a8b9c0d1,Audi,Th??ng hi?u xe sang ??c v?i h? d?n ??ng Quattro n?i ti?ng và thi?t k? hi?n ??i.,https://toppng.com/uploads/preview/audi-car-logo-11530962094iugeww1llh.png
b7c8d9e0-f1a2-b3c4-d5e6-f7a8b9c0d1e2,Hyundai,"T?p ?oàn xe h?i Hàn Qu?c, phát tri?n nhanh chóng v?i nhi?u m?u xe ?a d?ng.",https://www.shutterstock.com/image-vector/vector-silhouettes-icons-hyundai-brand-600nw-2274963991.jpg
c8d9e0f1-a2b3-c4d5-e6f7-a8b9c0d1e2f3,Kia,"Hãng xe Hàn Qu?c, thu?c t?p ?oàn Hyundai, n?i b?t v?i thi?t k? tr? trung.",https://icolor.vn/wp-content/uploads/2024/08/kia2.jpg
d9e0f1a2-b3c4-d5e6-f7a8-b9c0d1e2f3a4,VinFast,"Th??ng hi?u xe h?i c?a Vi?t Nam, hi?n ?ang t?p trung vào xe ?i?n.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLHgEikM_v2K7_rzUYP_Sfi4G5v6URkIHgBw&s
e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5,Tesla,"Hãng xe ?i?n hàng ??u c?a M?, tiên phong v? công ngh? pin và t? lái.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3GYDIvxL-beJ8TFMwamtsRNTKncCUMcXNdA&s
f1a2b3c4-d5e6-f7a8-b9c0-d1e2f3a4b5c6,Nissan,"Hãng xe Nh?t B?n v?i l?ch s? lâu ??i, n?i ti?ng v?i các dòng xe th? thao (Z) và SUV.",https://upload.wikimedia.org/wikipedia/commons/2/23/Nissan_2020_logo.svg
a2b3c4d5-e6f7-a8b9-c0d1-e2f3a4b5c6d7,Mazda,Th??ng hi?u Nh?t B?n v?i tri?t lý thi?t k? KODO và công ngh? ??ng c? SkyActiv.,https://mazdamotors.vn/media/bvlix4wj/mazda-logo-2018-present-700x394.png
b3c4d5e6-f7a8-b9c0-d1e2-f3a4b5c6d7e8,Volkswagen,"Hãng xe ""??i chúng"" c?a ??c, ch? s? h?u c?a nhi?u th??ng hi?u l?n.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBafk4V_RjEtnZql2T21FiKE2ATa6zOM2ecw&s
c4d5e6f7-a8b9-c0d1-e2f3-a4b5c6d7e8f9,Subaru,Hãng xe Nh?t B?n n?i ti?ng v?i ??ng c? Boxer và h? d?n ??ng 4 bánh S-AWD.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxgB7-31jFnBlM_DkTHDwgRyCcVnd5q7i7oQ&s
d5e6f7a8-b9c0-d1e2-f3a4-b5c6d7e8f9a0,Porsche,"Th??ng hi?u xe th? thao h?ng sang c?a ??c, bi?u t??ng là dòng xe 911.",https://inkythuatso.com/uploads/images/2021/11/porsche-logo-inkythuatso-2-01-12-14-55-43.jpg
e6f7a8b9-c0d1-e2f3-a4b5-c6d7e8f9a0b1,Lexus,"Phân khúc xe sang c?a Toyota, t?p trung vào s? êm ái và ?? tin c?y.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNIoi5HnMPchjcjKvjxgL-FVpDg1XmfizeGw&s
f7a8b9c0-d1e2-f3a4-b5c6-d7e8f9a0b1c2,Ferrari,"Hãng siêu xe th? thao Ý, bi?u t??ng c?a t?c ?? và màu ?? Rosso Corsa.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSM7Otqdk3acwZQjX2GulLYIkLM1E8ptq7aZA&s
a8b9c0d1-e2f3-a4b5-c6d7-e8f9a0b1c2d3,Lamborghini,"Hãng siêu xe Ý v?i thi?t k? góc c?nh, h?m h? và ??ng c? V10/V12.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXlgshhYe0Q5Cksd5bvdLoXNhoXCJQSGTOEQ&s
b9c0d1e2-f3a4-b5c6-d7e8-f9a0b1c2d3e4,Land Rover,Th??ng hi?u xe Anh Qu?c chuyên v? SUV ??a hình h?ng sang (Range Rover).,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5bSbgBqyvspDstQpcG7jushpDC_0mbhGAuQ&s
c0d1e2f3-a4b5-c6d7-e8f9-a0b1c2d3e4f5,Volvo,"Hãng xe Th?y ?i?n, n?i ti?ng toàn c?u là tiên phong v? công ngh? an toàn.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2OvsJNsW42bpW-Gi1WuUoVRJzXgo4ZLQIsw&s
d1e2f3a4-b5c6-d7e8-f9a0-b1c2d3e4f5a6,Peugeot,Th??ng hi?u xe h?i Pháp v?i thi?t k? s? t? ??c tr?ng và n?i th?t i-Cockpit.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTI-nodvMf8Gy7zei7_qOCEG-xijykFm-WyDA&s
e2f3a4b5-c6d7-e8f9-a0b1-c2d3e4f5a6b7,Mitsubishi,"Hãng xe Nh?t B?n, n?i ti?ng v?i di s?n xe ?ua ??a hình (Pajero, Lancer Evolution).",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZC0NwjhxudDIA2QGQYFRxu-kXTcx42nhZpg&s
